"Qty";"Value";"Device";"Package";"Parts";"Description";"COLOR1";"COLOR2";"COLOR3";"MF";"MFR";"MFR_PN";"MPN";"OC_FARNELL";"OC_NEWARK";"ORIENT";"PROD_ID";"VALUE";
"1";".047uF";"CAP1206";"1206";"MAX232_C1_1";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"0.1uF";"CAP1206";"1206";"MAX232_DECAP_1";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"0.33uF";"CAP1206";"1206";"MAX232_C2_1, MAX232_VNCAP_1, MAX232_VPCAP_1";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1k";"RESISTOR1206";"1206";"RES_LEDPWR";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1uF";"100UF-25V-20%(PTH)";"CPOL-RADIAL-100UF-25V";"DECAP";"CAP-08439";"";"";"";"";"";"";"";"";"";"";"CAP-08439";"";
"3";"470";"RESISTOR1206";"1206";"RES_LEDDYNASWD, RES_LEDXBRX, RES_LEDXBTX";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";
"6";"53261-03";"53261-03";"53261-03";"ENC_EI, ENC_EO, ENC_J1, ENC_J2, ENC_WI, ENC_WO";"CONNECTOR";"";"";"";"MOLEX";"";"";"53261-0390";"1125359";"57H5006";"";"";"";
"1";"53261-06";"53261-06";"53261-06";"DATA_J2";"CONNECTOR";"";"";"";"";"";"";"";"1125375";"unknown";"";"";"";
"3";"ANDERSON_POWERPOLEPP45_PCB_HORIZ_RIGHT";"ANDERSON_POWERPOLEPP45_PCB_HORIZ_RIGHT";"APP45_PCB_HORIZ_RIGHT";"EE-GND, J2_GND, SOL-GND";"http://www.powerwerx.com/anderson-powerpoles/";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"ANDERSON_POWERPOLEPP45_PCB_HORIZ_RIGHT_2HIGH";"ANDERSON_POWERPOLEPP45_PCB_HORIZ_RIGHT_2HIGH";"APP45_PCB_HORIZ_RIGHT_2HIGH";"EE-12V, J2_12V, SOL-12V";"http://www.powerwerx.com/anderson-powerpoles/";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"APP_3POS_CONFIG5V_12V_HORIZ";"APP_3POS_CONFIG5V_12V_HORIZ";"APP45_5V_12V_HORIZ_CONFIG";"PWR_MAIN";"";"YELLOW";"RED";"BLACK";"";"";"";"";"";"";"";"";"";
"3";"DYNAMIXEL-1X03HORIZ";"DYNAMIXEL-1X03HORIZ";"MLX-SPOX5268-3PIN";"DYNA1, DYNA2, DYNA3";"";"";"";"";"";"Molex";"0022057035";"";"";"";"Horiz";"";"";
"1";"GREEN";"LED-GREEN1206";"LED-1206";"LED_XB_TX";"Various green LEDs";"";"";"";"";"";"";"";"";"";"";"DIO-00862";"GREEN";
"1";"MAX3232SO16";"MAX3232SO16";"SO16";"MAX232_1";"MAX3232 RS232 Transceiver http://pdfserv.maximintegrated.com/en/ds/MAX3222-MAX3241.pdf";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"MOUNTING_HOLEM6";"MOUNTING_HOLEM6";"M6_SCREW";"H2";"Mounting hole for M6 bolt.";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"ORANGE";"LED1206";"LED-1206";"LED_DYNASWD";"LEDs";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"RED";"LED1206";"LED-1206";"LED_XB_RX";"LEDs";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"SWITCH_SPDT_VERTSS12D07VG4NSGAPA";"SWITCH_SPDT_VERTSS12D07VG4NSGAPA";"C&K-SS12D07VG4NSGAPA";"U$2";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"TIVA-C-CONNECTED";"TIVA-C-CONNECTED";"TIVA-C-CONNECTED";"U$1";"TIVA C CONNECTED LAUNCHPAD";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"WHITE";"LED1206";"LED-1206";"LED_PWR";"LEDs";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"XBEE-1B3";"XBEE-1B3";"XBEE-SMD";"XB";"";"";"";"";"";"";"";"";"";"";"";"";"";
