Qty,Value,Device,Package,Parts,Description,COLOR1,COLOR2,COLOR3,MFR,MFR_PN,ORIENT,PACKAGE,PROD_ID
1,.047uF,CAP0603-CAP,0603-CAP,MAX232_C1_1,Capacitor,,,,,,,,
7,.1µF,CAP0603-CAP,0603-CAP,LT1910CAP-DYNA1,,,,,,,,,
1,0.1uF,CAP0603-CAP,0603-CAP,MAX232_DECAP_1,Capacitor,,,,,,,,
3,0.33uF,CAP0603-CAP,0603-CAP,MAX232_C2_1,,,,,,,,,
2,1k,RESISTOR0603,0603-RES,RES_LEDPWR,,,,,,,,,
1,1uF,100UF-25V-20%(PTH),CPOL-RADIAL-100UF-25V,DECAP,CAP-08439,,,,,,,,CAP-08439
3,220,RESISTOR0603,0603-RES,RES_LEDDYNASWD,,,,,,,,,
2,390,RESISTOR0603,0603-RES,RES_LEDPWR1,,,,,,,,,
2,ACS722,ACS722,SO-08,U$4,,,,,,,,,
3,ANDERSON_POWERPOLEPP45_PCB_HORIZ_RIGHT,ANDERSON_POWERPOLEPP45_PCB_HORIZ_RIGHT,APP45_PCB_HORIZ_RIGHT,EE-GND,,,,,,,,,
3,ANDERSON_POWERPOLEPP45_PCB_HORIZ_RIGHT_2HIGH,ANDERSON_POWERPOLEPP45_PCB_HORIZ_RIGHT_2HIGH,APP45_PCB_HORIZ_RIGHT_2HIGH,EE-12V,,,,,,,,,
1,APP_3POS_CONFIG5V_12V_HORIZ,APP_3POS_CONFIG5V_12V_HORIZ,APP45_5V_12V_HORIZ_CONFIG,PWR_MAIN,,YELLOW,RED,BLACK,,,,,
7,BUK9Y4R4-40EPOWER-SO8,BUK9Y4R4-40EPOWER-SO8,POWER-SO8,FET_DYNA1,,,,,,,,,
3,DYNAMIXEL-1X03HORIZ,DYNAMIXEL-1X03HORIZ,MLX-SPOX5268-3PIN,DYNA1,,,,,,,,,
1,GREEN,LED0603,LED-0603,LED_XB_RX,LEDs,,,,,,,,
7,LT1910,LT1910,SO8,LT1910-DYNA1,,,,,,,,,
6,M03,M03,MOLEX_0436500300,ENC_EI,,,,,,,,,
1,M06,M06,MOLEX_0436500600,J2_DATA,,,,,,,,,
1,MAX3232SO16,MAX3232SO16,SO16,MAX232_1,MAX3232 RS232 Transceiver http://pdfserv.maximintegrated.com/en/ds/MAX3222-MAX3241.pdf,,,,,,,,
1,MOUNTING_HOLE#6,MOUNTING_HOLE#6,#6_SCREW,U$3,Mounting hole for M6 bolt.,,,,,,,,
1,ORANGE,LED0603,LED-0603,LED_12VU,LEDs,,,,,,,,
3,RED,LED0603,LED-0603,LED_5V,,,,,,,,,
1,SWITCH-SPST-HORIZ,SWITCH-SPST-HORIZ,CW-GPTS203212BR2,U$7,,,,,,,,,
1,TIVA-C-CONNECTED,TIVA-C-CONNECTED,TIVA-C-CONNECTED,U$1,TIVA C CONNECTED LAUNCHPAD,,,,,,,,
1,XBEE_802.15.4SMD,XBEE_802.15.4SMD,XBEE_802.15.4_SMD,U$2,,,,,,,,,
1,YELLOW,LED0603,LED-0603,LED_12V,LEDs,,,,,,,,
1,white,LED1206,LED-1206,LED_5V1,LEDs,,,,,,,,
