"Qty";"Value";"Device";"Package";"Parts";"Description";"COLOR1";"COLOR2";"COLOR3";"MFR";"MFR_PN";"ORIENT";"PACKAGE";"PROD_ID";
"10";".1µF";"CAP0603-CAP";"0603-CAP";"LT1910CAP-DYNA1, LT1910CAP-DYNA2, LT1910CAP-DYNA3, LT1910CAP-EE, LT1910CAP-J2, LT1910CAP-MAIN, LTC2645-CAP-IOVCC-1, LTC2645-CAP-IOVCC-2, LTC2645-CAP-VCC-1, LTC2645-CAP-VCC-2";"Capacitor";"";"";"";"";"";"";"";"";
"1";"0";"RESISTOR0603";"0603-RES";"R1";"Resistor";"";"";"";"";"";"";"";"";
"12";"1k";"RESISTOR0603";"0603-RES";"RES_LEDDYNASWD1, RES_LEDDYNASWD3, RES_LEDDYNASWD5, RES_LEDDYNASWD7, RES_LEDDYNASWD9, RES_LEDDYNASWD11, RES_LEDPWR, RES_LEDPWR2, RES_LEDPWR4, RES_LEDPWR5, RES_LEDPWR6, RES_LEDPWR7";"Resistor";"";"";"";"";"";"";"";"";
"1";"1uF";"100UF-25V-20%(PTH)";"CPOL-RADIAL-100UF-25V";"DECAP";"CAP-08439";"";"";"";"";"";"";"";"CAP-08439";
"3";"220";"RESISTOR0603";"0603-RES";"RES_LEDDYNASWD, RES_LEDXBRX, RES_LEDXBTX";"Resistor";"";"";"";"";"";"";"";"";
"6";"2k";"RESISTOR0603";"0603-RES";"RES_LEDDYNASWD2, RES_LEDDYNASWD4, RES_LEDDYNASWD6, RES_LEDDYNASWD8, RES_LEDDYNASWD10, RES_LEDDYNASWD12";"Resistor";"";"";"";"";"";"";"";"";
"2";"390";"RESISTOR0603";"0603-RES";"RES_LEDPWR1, RES_LEDPWR3";"Resistor";"";"";"";"";"";"";"";"";
"2";"ACS722";"ACS722";"SO-08";"U$4, U$5";"";"";"";"";"";"";"";"";"";
"1";"ANDERSON_POWERPOLEPP45_PCB_HORIZ_RIGHT";"ANDERSON_POWERPOLEPP45_PCB_HORIZ_RIGHT";"APP45_PCB_HORIZ_RIGHT";"J2_GND";"http://www.powerwerx.com/anderson-powerpoles/";"";"";"";"";"";"";"";"";
"1";"ANDERSON_POWERPOLEPP45_PCB_HORIZ_RIGHT_2HIGH";"ANDERSON_POWERPOLEPP45_PCB_HORIZ_RIGHT_2HIGH";"APP45_PCB_HORIZ_RIGHT_2HIGH";"J2_12V";"http://www.powerwerx.com/anderson-powerpoles/";"";"";"";"";"";"";"";"";
"1";"APEM_MJTP1243";"APEM_MJTP1243";"APEM_MJTP1243";"U$8";"";"";"";"";"";"";"";"";"";
"1";"APP_2POS_CONFIG12V_VERT";"APP_2POS_CONFIG12V_VERT";"APP45_12V_VERT_CONFIG";"U$7";"";"YELLOW";"BLACK";"";"";"";"";"";"";
"1";"APP_3POS_CONFIG5V_12V_HORIZ";"APP_3POS_CONFIG5V_12V_HORIZ";"APP45_5V_12V_HORIZ_CONFIG";"PWR_MAIN";"";"YELLOW";"RED";"BLACK";"";"";"";"";"";
"6";"BUK9Y4R4-40EPOWER-SO8";"BUK9Y4R4-40EPOWER-SO8";"POWER-SO8";"FET_DYNA1, FET_DYNA2, FET_DYNA3, FET_PWREE, FET_PWRJ2, FET_PWRMAIN";"Compatible with the BUK9Y** MOSFETS made by NXP Semiconductors.";"";"";"";"NXP";"BUK9Y4R4-40E";"";"POWER-SO8";"";
"3";"DYNAMIXEL-1X03VERT";"DYNAMIXEL-1X03VERT";"MLX-SPOX5267-3PIN";"DYNA1, DYNA2, DYNA3";"";"";"";"";"Molex";"0022035035";"Vert";"";"";
"1";"GREEN";"LED0603";"LED-0603";"LED_XB_RX";"LEDs";"";"";"";"";"";"";"";"";
"6";"LT1910";"LT1910";"SO8";"LT1910-DYNA1, LT1910-DYNA2, LT1910-DYNA3, LT1910-EE, LT1910-J2, LT1910-MAIN";"";"";"";"";"";"";"";"";"";
"2";"LTC2645";"LTC2645";"MSOP16";"U$9, U$11";"";"";"";"";"";"";"";"";"";
"5";"M03VERT";"M03VERT";"MOLEX0436500328";"ENC_EI, ENC_EO, ENC_J1, ENC_WI, ENC_WO";"";"";"";"";"";"";"";"";"";
"1";"M062X3VERT";"M062X3VERT";"MOLEX_0430450627";"J2_DATA";"";"";"";"";"";"";"";"";"";
"1";"MOUNTING_HOLE#6";"MOUNTING_HOLE#6";"#6_SCREW";"U$3";"Mounting hole for M6 bolt.";"";"";"";"";"";"";"";"";
"1";"ORANGE";"LED0603";"LED-0603";"LED_12VU";"LEDs";"";"";"";"";"";"";"";"";
"3";"RED";"LED0603";"LED-0603";"LED_5V, LED_DYNASWD, LED_XB_TX";"LEDs";"";"";"";"";"";"";"";"";
"1";"TIVA-C-CONNECTED";"TIVA-C-CONNECTED";"TIVA-C-CONNECTED";"U$1";"TIVA C CONNECTED LAUNCHPAD";"";"";"";"";"";"";"";"";
"1";"XBEE_802.15.4SMD";"XBEE_802.15.4SMD";"XBEE_802.15.4_SMD";"U$2";"";"";"";"";"";"";"";"";"";
"5";"YELLOW";"LED0603";"LED-0603";"LED_12V, LED_12V1, LED_12V2, LED_12V3, LED_12V4";"LEDs";"";"";"";"";"";"";"";"";
"1";"white";"LED1206";"LED-1206";"LED_5V1";"LEDs";"";"";"";"";"";"";"";"";
