"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"1.5K";"RESISTOR0603";"0603-RES";"R2";"Resistor";"";
"1";"10K";"RESISTOR0603";"0603-RES";"R3";"Resistor";"";
"1";"10k";"RESISTOR0603";"0603-RES";"R8";"Resistor";"";
"8";"1K";"RESISTOR0603";"0603-RES";"R1, R5, R6, R7, R9, R11, R12, R13";"Resistor";"";
"1";"33nF";"CAP0603-CAP";"0603-CAP";"C2";"Capacitor";"";
"2";"3K3";"RESISTOR0603";"0603-RES";"R4, R10";"Resistor";"";
"10";"47uf";"CAP1210";"1210";"C1, C3, C4, C5, C6, C7, C8, C9, C10, C11";"Capacitor";"";
"1";"DIP_SKT_ATMEGA";"DIP_SKT_ATMEGA";"DIP_SKT_ATMEGA";"U$13";"";"";
"8";"M03VERT";"M03VERT";"MOLEX0436500328";"M1, M2, M3, M4, T1, T2, T3, T4";"";"";
"1";"Q_OKI-78SR";"Q_OKI-78SR";"OKI-78SR_HORIZ";"U$1";"4.95W DC/DC Converter";"";
"2";"TE_2POS-5MM_SCREW_TERM";"TE_2POS-5MM_SCREW_TERM";"TE_2POS-5MM_SCREW_TERM";"U$3, U$5";"";"";
"1";"VNH5XXX_HBRIDGEVNH5050A";"VNH5XXX_HBRIDGEVNH5050A";"POWERSSO-36_TP";"U$6";"";"";
"1";"XBEE_802.15.4SMD";"XBEE_802.15.4SMD";"XBEE_802.15.4_SMD";"U$15";"";"";
"1";"green";"LED0603";"LED-0603";"D3";"LEDs";"";
"2";"red";"LED0603";"LED-0603";"D1, D2";"LEDs";"";
